# Program:featureCounts v2.0.1; Command:"featureCounts" "-O" "-T" "8" "-a" "reference/D_discoideum_PASAua.gtf" "-o" "featureCounts_output.txt" "star_map/SRR1593424.bam" "star_map/SRR1593425.bam" "star_map/SRR1593426.bam" "star_map/SRR1593427.bam" "star_map/SRR1593428.bam" "star_map/SRR1593429.bam" "star_map/SRR1593430.bam" "star_map/SRR1593431.bam" "star_map/SRR1593432.bam" "star_map/SRR1593433.bam" "star_map/SRR1593434.bam" "star_map/SRR1593443.bam" "star_map/SRR1593444.bam" "star_map/SRR1593445.bam" "star_map/SRR1593446.bam" "star_map/SRR1593447.bam" "star_map/SRR1593448.bam" "star_map/SRR1593449.bam" "star_map/SRR1593450.bam" "star_map/SRR1593451.bam" "star_map/SRR1593452.bam" "star_map/SRR1593453.bam" 
Geneid	Chr	Start	End	Strand	Length	star_map/SRR1593424.bam	star_map/SRR1593425.bam	star_map/SRR1593426.bam	star_map/SRR1593427.bam	star_map/SRR1593428.bam	star_map/SRR1593429.bam	star_map/SRR1593430.bam	star_map/SRR1593431.bam	star_map/SRR1593432.bam	star_map/SRR1593433.bam	star_map/SRR1593434.bam	star_map/SRR1593443.bam	star_map/SRR1593444.bam	star_map/SRR1593445.bam	star_map/SRR1593446.bam	star_map/SRR1593447.bam	star_map/SRR1593448.bam	star_map/SRR1593449.bam	star_map/SRR1593450.bam	star_map/SRR1593451.bam	star_map/SRR1593452.bam	star_map/SRR1593453.bam
DDB_G0275715	2	6031763	6032185	-	423	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	1	1
DDB_G0275513	2;2;2;2;2;2;2;2;2;2;2;2;2;2	6033383;6033383;6033383;6033383;6033619;6033619;6033619;6033619;6034026;6034026;6034026;6034026;6034298;6034298	6033495;6033495;6033495;6033495;6033831;6033843;6033843;6033831;6034089;6034089;6034161;6034161;6034352;6034352	-;-;-;-;-;-;-;-;-;-;-;-;-;-	529	227	155	468	246	190	125	62	79	101	74	83	670	296	841	696	251	99	12	112	285	203	105
DDB_G0275917	2;2	6034482;6034870	6034767;6037716	+;+	3133	257	175	244	182	227	165	315	583	1071	738	610	172	130	202	301	169	331	170	392	282	521	260
DDB_G0275919	2	6037798	6040218	-	2421	89	9	8	17	28	22	35	23	19	8	10	70	11	2	24	16	19	5	14	19	13	5
DDB_G0275713	2	6040578	6041513	-	936	749	241	185	51	24	12	31	80	52	24	10	623	85	56	37	24	61	4	15	149	21	8
DDB_G0275711	2;2;2;2	6042281;6043108;6043788;6044039	6043003;6043663;6043930;6044641	-;-;-;-	2025	319	184	295	396	354	348	360	457	870	526	518	349	248	424	592	415	475	204	454	389	624	393
DDB_G0275635	2;2	6045692;6048015	6047932;6050567	+;+	4794	56	22	48	86	152	107	50	50	80	80	89	36	16	89	97	56	34	32	48	47	88	67
DDB_G0275515	2	6051213	6053156	+	1944	16	2	22	3	1	7	13	29	4	97	12	0	1	18	4	10	42	13	56	3	4	75
DDB_G0275921	2;2	6054613;6055333	6055246;6055745	-;-	1047	102	19	50	75	83	84	79	61	87	55	90	81	26	76	125	47	41	4	49	69	103	129
DDB_G0275637	2;2	6056870;6058693	6058602;6058918	-;-	1959	255	19	23	45	72	74	56	48	56	20	25	167	21	30	88	73	50	17	47	63	46	37
DDB_G0275923	2;2	6059156;6059688	6059594;6059761	-;-	513	3	0	2	1	0	0	3	1	2	2	1	7	0	2	5	0	2	1	2	5	0	3
DDB_G0275517	2;2;2;2	6059872;6060009;6060691;6061069	6059922;6060578;6060941;6061375	+;+;+;+	1179	100	71	133	140	153	119	154	216	251	180	157	116	103	171	266	205	283	215	113	102	201	93
DDB_G0275519	2;2	6062122;6062663	6062559;6063145	+;+	921	348	2040	2099	835	432	160	163	95	130	74	183	436	2487	1431	964	563	125	67	121	190	217	195
DDB_G0275925	2;2;2;2	6064231;6064893;6065147;6065661	6064568;6064998;6065564;6065776	+;+;+;+	978	92	39	78	83	80	69	124	201	271	193	184	91	83	99	142	177	160	149	181	119	228	170
DDB_G0275521	2;2	6066417;6066876	6066777;6067989	+;+	1475	1	8	12	10	11	10	2	5	12	15	23	2	12	13	29	11	7	1	7	9	17	12
DDB_G0275523	2;2	6068056;6070161	6070043;6070798	-;-	2626	31	30	21	40	61	45	32	28	46	32	11	105	115	393	589	287	94	42	77	59	79	20
DDB_G0275927	2;2	6071448;6072206	6072145;6073830	-;-	2323	13	6	13	8	15	7	4	5	19	15	21	23	2	15	24	8	4	11	7	14	12	6
DDB_G0275929	2;2	6074432;6075047	6074968;6078862	+;+	4353	128	44	125	108	82	40	22	16	51	51	50	80	6	85	82	45	16	24	28	42	48	22
DDB_G0275639	2;2	6080040;6080141	6080049;6080307	+;+	177	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0
DDB_G0275477	2;2	6081032;6081163	6081087;6081318	+;+	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
DDB_G0275641	2;2	6082396;6082480	6082405;6082628	+;+	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0275707	2;2;2;2;2;2	6082931;6083228;6083396;6084109;6085529;6086186	6083088;6083295;6084029;6085368;6086084;6086502	+;+;+;+;+;+	2993	30	12	23	37	33	21	21	44	99	57	79	22	7	20	36	18	20	8	16	19	57	34
DDB_G0275475	2	6086883	6087954	+	1072	21	46	18	7	12	9	15	15	29	11	16	29	127	23	44	41	36	17	27	28	40	24
DDB_G0275931	2;2;2	6088184;6088595;6088948	6088482;6088831;6089067	-;-;-	656	41	10	20	22	21	5	42	97	167	84	62	49	25	42	67	28	51	11	125	57	93	90
DDB_G0275473	2;2	6089719;6090068	6089814;6090352	-;-	381	11878	8534	10076	8854	8987	8263	9502	10850	10987	6321	3866	13234	21521	15972	17112	20363	11659	6552	14514	8916	8681	6291
DDB_G0275933	2;2	6090787;6091261	6091058;6091381	+;+	393	38	18	31	16	33	20	29	26	30	17	12	92	104	36	68	66	64	84	45	44	38	22
DDB_G0275617	2;2	6092208;6092944	6092742;6093143	-;-	735	64	43	62	64	73	44	74	94	167	140	179	74	100	95	146	137	122	87	154	85	182	126
DDB_G0275471	2;2;2;2	6094205;6094500;6094899;6095082	6094353;6094786;6094963;6095171	-;-;-;-	591	182	89	205	182	203	175	224	222	233	160	165	354	148	318	433	300	369	62	123	224	221	184
DDB_G0275935	2;2	6095344;6095755	6095641;6096386	-;-	930	20	9	31	22	26	18	23	21	16	10	14	26	18	23	32	34	13	10	11	12	27	23
DDB_G0275469	2	6096694	6098371	-	1678	194	48	92	128	212	188	244	324	443	225	167	174	72	247	329	411	360	140	293	157	195	153
DDB_G0275937	2	6099175	6102987	+	3813	17	4	24	28	34	7	3	7	15	7	10	14	7	17	17	4	6	2	7	7	5	13
DDB_G0275453	2;2;2;2	6103591;6103880;6104375;6105113	6103702;6104267;6105017;6106499	+;+;+;+	2530	41	20	41	61	37	35	40	56	107	74	66	28	7	52	54	32	26	3	33	38	73	63
DDB_G0275619	2	6106886	6107851	-	966	1146	666	814	795	990	756	1144	1610	2245	1709	1612	750	1308	1073	1454	1548	2090	1144	1976	999	2281	2210
DDB_G0275455	2;2	6110111;6110809	6110700;6111847	-;-	1629	750	304	407	413	502	420	629	1308	2666	1817	1191	520	629	484	651	508	681	633	1655	724	1116	906
DDB_G0275457	2	6112474	6113253	+	780	9	1	4	6	4	4	9	46	155	75	28	7	2	4	9	10	19	6	77	20	14	10
DDB_G0275459	2;2;2	6113484;6113651;6114464	6113533;6114379;6114666	+;+;+	982	6754	513	122	466	1242	1786	1949	1711	1407	1249	641	1507	821	209	658	893	831	762	1462	919	1429	1311
DDB_G0275463	2	6116742	6117130	+	389	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0275467	2;2;2;2;2	6119788;6120180;6120754;6121195;6121600	6120084;6120620;6121101;6121500;6122026	-;-;-;-;-	1819	35	6	18	20	26	19	24	25	30	36	35	27	20	28	53	31	31	32	13	13	25	31
DDB_G0275939	2;2;2;2;2	6123545;6123783;6124322;6124578;6125170	6123690;6124235;6124495;6125055;6125651	+;+;+;+;+	1733	7	4	3	11	12	7	6	7	23	9	15	10	1	9	15	4	3	3	4	6	16	14
DDB_G0275991	2	6139718	6140764	-	1047	7	1	2	3	2	2	4	8	38	53	36	4	0	7	7	2	3	0	2	6	47	21
DDB_G0275989	2;2	6141348;6141790	6141688;6142802	+;+	1354	37	1	5	7	15	10	6	17	6	3	8	27	0	14	18	13	6	2	5	8	7	3
DDB_G0275987	2;2	6143123;6143305	6143209;6144350	+;+	1133	3	0	2	0	0	0	1	0	2	18	3	0	0	1	1	2	2	0	0	0	1	5
DDB_G0275985	2;2	6144623;6145485	6145394;6145813	-;-	1101	84	16	21	34	53	30	43	34	58	54	36	108	44	19	79	56	74	48	54	61	58	66
DDB_G0275983	2;2;2;2;2	6146574;6147002;6147303;6148032;6148184	6146898;6147219;6147924;6148087;6148351	+;+;+;+;+	1389	24	3	13	14	13	6	3	9	29	9	8	27	2	14	25	12	9	4	11	9	13	14
DDB_G0275981	2;2	6148751;6149116	6149001;6150499	+;+	1635	430	729	441	353	387	314	288	286	305	185	149	411	625	668	555	476	287	73	204	216	298	204
DDB_G0275993	2;2	6150629;6151089	6150939;6151474	-;-	697	28	1	9	12	21	15	12	10	11	2	1	41	1	20	35	7	5	0	3	9	12	11
DDB_G0275979	2;2;2	6151550;6152367;6152873	6151552;6152646;6153237	+;+;+	648	29	6	15	15	18	14	15	29	42	27	25	65	19	18	34	38	28	23	26	26	33	22
DDB_G0275997	2	6157246	6158193	-	948	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0275999	2;2	6158412;6161077	6160985;6161199	-;-	2697	74	42	66	77	89	75	58	47	52	30	17	43	15	53	70	38	37	5	21	22	45	21
DDB_G0276001	2;2	6162382;6162691	6162596;6162700	-;-	225	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0
DDB_G0276003	2	6164176	6164778	+	603	7	2	16	12	13	6	4	14	92	13	317	16	3	8	9	10	8	5	4	16	8	7
DDB_G0275975	2;2	6165066;6165391	6165283;6165403	-;-	231	1	3	1	0	1	1	1	0	1	0	5	0	3	0	2	1	0	0	0	0	1	0
DDB_G0276005	2;2	6165936;6166516	6166406;6171999	-;-	5955	88	98	155	164	198	184	116	130	196	129	224	67	68	111	147	134	125	140	71	69	205	187
DDB_G0275973	2;2;2	6173288;6173538;6173902	6173379;6173776;6174300	+;+;+	730	28	8	9	12	8	10	9	7	10	4	10	46	22	15	24	20	13	13	9	14	12	11
DDB_G0275971	2;2;2	6175233;6175729;6176024	6175571;6175902;6177682	+;+;+	2172	616	594	1052	1152	1212	1430	1582	2304	3810	4032	3622	412	826	927	1474	2080	2647	4026	1857	1282	3012	2153
DDB_G0276007	2;2;2;2	6178436;6178813;6179029;6179317	6178654;6178947;6179218;6179411	+;+;+;+	639	24	8	22	15	26	20	26	21	22	14	11	49	35	47	57	35	44	60	44	29	33	17
DDB_G0275969	2;2	6179936;6180186	6179977;6180817	+;+	674	14	12	11	18	9	13	18	26	52	41	14	19	28	13	44	21	39	26	25	17	46	37
DDB_G0275967	2;2;2;2	6187925;6188519;6188724;6190084	6188421;6188643;6189874;6190292	-;-;-;-	1982	79	57	114	123	126	84	97	73	215	193	191	63	66	116	174	103	82	33	129	94	207	194
DDB_G0276013	2;2	6191275;6192861	6192768;6193613	-;-	2247	243	634	399	438	491	531	907	1235	1950	1818	1371	100	590	381	514	693	1182	1025	1201	599	1319	1078
DDB_G0276015	2;2	6195329;6195828	6195706;6197255	-;-	1806	17	25	47	27	28	7	12	19	20	9	18	27	50	51	53	14	18	11	16	16	23	7
DDB_G0275957	2;2	6197614;6200885	6200769;6200945	-;-	3217	487	314	387	484	571	463	499	542	875	776	800	267	378	389	568	540	486	368	518	317	663	424
DDB_G0276017	2;2	6201276;6202460	6202366;6202685	+;+	1317	26	22	23	38	32	29	33	27	60	36	49	31	10	31	49	29	39	66	35	30	56	36
DDB_G0276019	2;2	6203910;6204141	6204137;6208439	+;+	4527	246	208	388	473	531	450	239	189	213	130	168	60	57	201	162	117	140	255	112	66	155	135
DDB_G0275955	2	6208676	6209306	-	631	7	3	0	2	6	0	0	2	2	3	2	16	0	6	10	1	6	0	0	4	3	6
DDB_G0275953	2;2	6210547;6211653	6211481;6211824	-;-	1107	236	49	39	37	62	61	64	77	113	65	51	271	128	95	113	80	81	16	59	99	75	65
DDB_G0275959	2;2;2	6214507;6214843;6215175	6214535;6215036;6215784	+;+;+	833	63	107	177	161	168	139	174	194	260	147	198	84	229	257	356	144	149	58	192	118	253	254
DDB_G0275963	2	6216012	6217418	-	1407	3	2	2	2	2	0	0	2	4	8	3	2	0	2	3	0	0	0	0	2	8	1
DDB_G0275961	2	6217743	6219098	-	1356	4	2	3	2	2	0	0	4	11	2	6	4	1	2	2	0	2	1	1	2	10	4
DDB_G0276265	2;2	6220039;6220216	6220128;6222009	-;-	1884	0	0	3	1	1	2	2	0	0	0	0	0	0	0	2	1	0	0	0	1	1	0
DDB_G0276227	2;2;2;2	6222654;6223313;6224636;6225224	6223086;6224524;6225115;6225612	+;+;+;+	2514	89	47	85	91	105	71	58	67	91	77	65	79	22	78	123	65	63	11	28	46	57	45
DDB_G0276161	2;2	6225937;6226148	6226079;6226160	-;-	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0276229	2;2;2;2;2;2	6228018;6228422;6228638;6229615;6230585;6230822	6228338;6228554;6229527;6230458;6230680;6230927	+;+;+;+;+;+	2390	54	13	43	54	52	44	29	28	66	83	54	21	13	33	63	53	25	13	45	29	53	44
DDB_G0276231	2;2	6231867;6232268	6232177;6232509	+;+	553	1	0	0	1	0	0	0	1	2	4	4	0	0	2	0	3	1	1	3	2	10	11
DDB_G0276137	2;2;2;2;2	6232556;6233223;6237383;6237630;6238199	6233123;6237264;6237460;6238051;6238542	-;-;-;-;-	5454	789	801	1129	1253	1326	1193	1204	1634	2299	1730	1476	113	235	529	312	396	743	3274	1116	565	1253	769
DDB_G0276135	2;2	6238932;6239741	6239643;6239999	+;+	971	27	21	14	20	34	27	35	35	66	42	38	51	26	51	73	69	72	42	80	66	69	43
DDB_G0276133	2;2;2	6240850;6242040;6242751	6241947;6242678;6242918	+;+;+	1905	23	15	32	51	36	26	24	12	25	10	26	31	21	41	77	23	17	1	13	27	40	27
DDB_G0276131	2;2	6243280;6243572	6243456;6244505	+;+	1111	40	10	45	37	45	37	72	131	180	94	88	35	13	47	86	71	91	52	109	55	112	69
DDB_G0276129	2;2;2	6244614;6245110;6245449	6244976;6245354;6246114	-;-;-	1274	72	26	37	39	34	20	41	86	160	66	129	75	26	48	43	20	34	74	92	56	186	145
DDB_G0276127	2	6247229	6247741	+	513	1	0	3	1	0	0	7	53	79	26	23	1	0	62	6	0	26	24	9	12	94	51
DDB_G0276225	2;2	6247899;6248239	6248159;6248428	-;-	451	0	0	1	0	0	0	1	4	12	10	7	0	1	1	1	0	2	1	1	5	8	4
DDB_G0276125	2;2;2	6248649;6252652;6252870	6252510;6252746;6252929	-;-;-	4017	21	11	26	23	13	47	236	231	770	1710	1815	2	15	32	13	77	233	125	145	229	1038	466
novel_gene_25	2;2	6255604;6256042	6255796;6256460	+;+	612	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1	0	1
DDB_G0276121	2	6256669	6258827	+	2159	625	30	9	61	108	131	149	143	97	71	42	324	40	13	89	120	93	59	77	101	71	55
DDB_G0276119	2	6259425	6262432	+	3008	97	73	158	184	195	155	122	106	166	91	100	109	102	271	307	229	132	100	132	91	133	85
DDB_G0276117	2;2	6262508;6262920	6262857;6263220	-;-	651	5	4	1	2	1	2	5	3	2	0	3	16	4	3	0	4	2	1	0	3	1	1
DDB_G0276223	2;2	6263422;6263764	6263623;6265732	+;+	2171	7	1	4	3	4	3	4	6	0	2	1	1	1	3	8	2	2	9	3	1	3	0
DDB_G0276233	2;2	6265945;6267572	6267323;6267911	-;-	1719	1844	1486	2493	1772	1414	985	993	1015	1212	932	636	1695	2661	2531	2289	1701	1183	381	1073	836	1081	652
DDB_G0276115	2	6268468	6269319	+	852	175	22	20	30	52	34	41	35	35	15	11	211	40	31	108	86	39	10	48	60	36	22
DDB_G0276113	2;2	6269416;6269878	6269792;6270277	-;-	777	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0276111	2	6270806	6272073	+	1268	0	1	1	0	0	0	0	0	0	0	3	0	1	0	0	1	0	0	0	0	0	0
DDB_G0276109	2;2	6272238;6272585	6272477;6273980	-;-	1636	94	40	75	63	90	71	69	82	127	132	119	112	61	88	91	164	101	111	79	84	115	78
DDB_G0276159	2	6274208	6275546	-	1339	108	16	29	46	46	44	57	101	139	87	59	124	17	61	79	86	64	55	102	63	79	51
DDB_G0276157	2;2;2;2;2;2	6275918;6277762;6278184;6278898;6279141;6279662	6277636;6278085;6278498;6278930;6279551;6280963	-;-;-;-;-;-	4104	54	54	131	63	59	44	34	26	54	179	76	31	46	147	142	49	33	38	40	43	88	71
DDB_G0276235	2	6281221	6281930	-	710	1	0	6	2	6	2	0	1	0	3	4	0	0	0	1	1	1	0	0	2	2	2
DDB_G0276155	2;2;2;2	6284187;6285978;6286463;6286789	6285872;6286269;6286693;6287507	-;-;-;-	2928	302	316	379	331	420	416	847	1446	2643	2159	2077	248	422	404	551	664	1032	971	1405	799	1753	1255
DDB_G0276107	2;2	6288433;6290560	6290452;6290743	-;-	2204	61	11	13	24	33	19	16	21	24	38	30	18	0	13	18	20	20	16	13	19	13	13
DDB_G0276105	2	6292298	6299746	+	7449	1266	323	698	836	1184	1146	815	678	1078	899	949	358	265	692	717	703	536	449	488	382	749	704
DDB_G0276103	2	6301131	6305656	+	4526	1357	1418	1635	1347	1772	1603	1230	1138	1221	1134	1712	864	1497	1472	1372	1370	875	595	800	563	1502	1749
DDB_G0276237	2;2;2	6306373;6306687;6307295	6306529;6307193;6307707	+;+;+	1077	32	10	7	7	6	3	5	3	9	1	2	25	5	4	11	7	5	4	8	6	3	1
DDB_G0276221	2;2;2;2	6307737;6311378;6312131;6312396	6311279;6312010;6312295;6312539	-;-;-;-	4485	717	311	561	681	718	462	320	257	386	415	433	533	328	337	669	670	451	387	319	296	430	323
DDB_G0276027	2;2;2	6313279;6314773;6316848	6314693;6316646;6316911	-;-;-	3353	98	541	628	228	180	99	147	549	2992	2112	1786	75	98	294	191	123	177	233	1224	603	1949	1242
DDB_G0276153	2;2	6318706;6319088	6318959;6321165	+;+	2332	681	230	402	469	528	414	358	400	750	547	394	303	277	423	546	483	348	229	468	244	427	341
DDB_G0276101	2;2;2;2	6321190;6324842;6325449;6325785	6324762;6325376;6325627;6325952	-;-;-;-	4455	179	38	140	102	90	48	30	57	94	113	124	154	19	127	125	95	53	36	71	87	130	75
DDB_G0276099	2;2	6326659;6327635	6327523;6327821	+;+	1052	604	197	418	337	441	419	536	657	1039	661	712	773	529	620	860	828	793	790	711	579	974	878
DDB_G0276097	2;2	6328260;6329753	6329646;6330139	+;+	1774	11	12	13	24	36	27	42	178	304	111	84	9	4	16	25	32	90	73	151	60	102	22
DDB_G0276219	2;2	6331088;6332550	6332446;6332882	+;+	1692	4	1	2	0	0	1	1	2	1	2	1	1	0	3	0	0	0	0	0	0	0	0
DDB_G0276095	2;2;2;2	6333535;6333831;6334461;6334952	6333631;6334395;6334788;6335278	+;+;+;+	1317	2	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	1	2
DDB_G0276217	2;2	6335479;6335740	6335640;6335885	-;-	308	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	1	0
DDB_G0276093	2;2	6339087;6339461	6339371;6341662	+;+	2487	0	0	1	0	0	0	14	2	4	5	9	1	0	0	2	5	13	3	6	5	28	23
DDB_G0276215	2;2;2;2;2	6342703;6343242;6343592;6343928;6344466	6343135;6343473;6343844;6344400;6345137	+;+;+;+;+	2063	24	29	71	27	26	28	134	180	338	592	604	12	26	48	40	73	205	101	258	137	435	397
DDB_G0276091	2;2;2	6345319;6346867;6347850	6346780;6347731;6349889	-;-;-	4367	35	46	105	86	102	59	32	40	53	36	41	32	33	75	97	34	14	14	20	37	56	29
DDB_G0276089	2	6350255	6355218	-	4964	124	185	535	364	441	264	106	122	171	110	79	103	87	361	347	133	72	27	65	83	157	113
DDB_G0276213	2;2;2;2	6356046;6356710;6356985;6357310	6356622;6356893;6357216;6357723	+;+;+;+	1407	4	0	0	1	0	1	3	2	2	0	0	1	0	0	5	2	1	2	1	2	1	0
DDB_G0276087	2;2	6358781;6359327	6359221;6360160	+;+	1275	11	70	31	22	18	14	14	22	94	163	146	8	47	12	25	19	26	19	50	48	159	141
DDB_G0276085	2	6360342	6362780	+	2439	66	29	8	16	23	16	19	21	24	30	36	52	12	8	12	24	27	56	10	16	19	11
DDB_G0276205	2	6371487	6372986	-	1500	154	338	833	690	665	340	159	112	218	156	92	148	569	1363	1325	401	148	52	163	137	264	201
DDB_G0276239	2	6373737	6376318	-	2582	42	37	46	36	34	20	19	22	50	25	23	38	8	37	44	15	16	1	17	17	29	12
DDB_G0276203	2	6376612	6377823	-	1212	12	17	12	17	27	22	26	81	183	139	96	6	14	29	41	15	37	23	62	43	129	106
DDB_G0276193	2;2;2	6387800;6388529;6389430	6388428;6389323;6389586	-;-;-	1581	175	48	171	139	76	76	130	239	515	452	297	172	93	223	325	284	211	97	296	238	340	264
DDB_G0276189	2;2;2	6390838;6391110;6391619	6390957;6391425;6392148	+;+;+	966	91	9	4	12	30	16	24	21	35	11	11	84	7	6	38	30	13	8	18	28	31	16
DDB_G0276151	2	6392232	6393059	-	828	13	3	6	5	4	1	1	3	3	4	8	15	4	8	10	6	4	4	2	5	5	2
DDB_G0276025	2;2;2	6393550;6395066;6395942	6394944;6395863;6396094	-;-;-	2346	51	112	70	63	52	25	27	36	41	28	27	26	66	51	52	20	24	20	27	20	47	55
DDB_G0276187	2;2;2;2	6396810;6398056;6398591;6398893	6397970;6398534;6398702;6399048	-;-;-;-	1908	29	46	44	40	41	32	54	59	138	40	38	13	17	28	54	13	25	6	12	12	16	20
DDB_G0276149	2;2	6400163;6400966	6400820;6401395	+;+	1088	0	3	7	2	6	1	37	139	154	43	14	1	0	8	3	4	51	8	25	8	26	27
DDB_G0276147	2;2	6401716;6402888	6402803;6404761	-;-	2962	14	20	12	26	17	12	34	42	42	42	376	5	8	11	16	17	15	14	8	9	31	79
DDB_G0276183	2;2;2	6408604;6408829;6409174	6408699;6409089;6409503	-;-;-	687	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0276181	2;2	6410071;6414693	6414515;6414915	-;-	4668	145	157	185	173	213	175	106	98	134	80	107	60	64	114	131	90	65	19	50	44	84	95
DDB_G0276083	2;2	6415536;6416541	6416465;6416916	+;+	1306	38	42	143	126	141	118	186	172	317	194	223	31	107	163	218	161	164	36	142	74	231	173
DDB_G0276241	2;2	6417133;6417373	6417250;6417589	-;-	335	853	397	516	514	488	418	528	820	955	510	441	1396	889	921	1177	1076	495	120	581	702	670	538
DDB_G0276243	2;2	6418160;6418632	6418516;6421294	+;+	3020	278	155	270	275	330	247	253	315	522	421	361	196	186	225	318	312	284	242	226	197	342	244
DDB_G0276081	2	6421444	6422214	-	771	7	2	2	3	5	6	2	3	9	4	3	10	2	3	8	14	12	7	4	6	4	2
DDB_G0276079	2	6422563	6424587	+	2025	101	30	30	39	47	29	24	22	38	21	15	60	13	46	64	40	11	3	26	22	33	16
DDB_G0276077	2;2;2	6426272;6426749;6427340	6426415;6427018;6427626	+;+;+	701	1319	2829	4364	2772	2204	1382	2356	2870	3296	1645	2109	1496	4635	5102	4670	2832	2744	490	2566	1589	2978	3359
DDB_G0276179	2;2	6427905;6428119	6428024;6428693	+;+	695	21	3	14	14	12	6	5	10	11	5	8	7	11	22	32	8	6	4	3	8	11	9
DDB_G0276075	2;2	6429266;6429449	6429365;6430461	+;+	1113	0	1	10	2	1	1	0	0	0	6	4	0	0	0	2	1	0	0	0	0	0	6
DDB_G0276073	2;2;2	6430624;6431280;6432074	6431150;6431986;6432296	-;-;-	1457	197	69	44	59	82	74	76	83	117	83	65	95	73	97	168	80	65	45	78	54	70	55
DDB_G0305372	2;2;2;2	6432588;6433097;6433441;6434030	6433001;6433311;6433831;6434179	-;-;-;-	1170	14	519	243	166	103	23	68	107	355	176	190	12	411	191	183	63	89	40	147	48	158	111
DDB_G0276029	2;2;2;2;2	6435670;6440614;6441404;6441694;6443463	6440500;6441146;6441601;6443382;6443825	-;-;-;-;-	7614	774	509	1132	1251	1332	1183	1322	1646	2864	2029	1711	381	434	757	853	852	994	898	974	574	1106	709
DDB_G0276069	2;2;2	6445628;6446351;6447896	6446180;6447747;6448087	-;-;-	2142	31	20	17	21	29	31	13	18	22	10	11	39	14	32	46	32	11	1	12	14	27	9
DDB_G0276067	2;2	6448661;6449083	6448990;6450109	+;+	1357	1290	175	129	102	92	117	97	116	141	83	74	1586	215	206	342	214	173	105	131	488	194	149
DDB_G0276065	2;2	6450262;6452341	6452145;6452424	-;-	1968	527	221	209	244	468	483	403	584	774	739	619	347	167	252	366	351	374	106	361	294	578	467
DDB_G0276063	2;2	6452850;6453159	6453079;6453201	-;-	273	1	0	14	12	0	0	1	0	0	55	23	0	1	3	10	23	1	1	5	1	1	23
DDB_G0276245	2;2	6454072;6456081	6455937;6456104	-;-	1890	4	1	1	0	1	1	0	2	1	10	2	0	0	2	1	4	2	4	0	0	0	5
DDB_G0294633	2	6456941	6459982	-	3042	245	214	480	679	976	910	762	501	713	436	449	144	88	848	879	762	630	174	213	157	478	369
DDB_G0276031	2;2;2;2;2	6461770;6461899;6462586;6462928;6463831	6461814;6462287;6462652;6463707;6463989	+;+;+;+;+	1440	224	114	241	336	340	403	401	299	413	247	421	179	122	355	414	439	247	167	183	193	420	352
DDB_G0276247	2;2;2	6464158;6464268;6464576	6464175;6464410;6464730	-;-;-	316	116	28	22	29	29	38	25	67	123	75	50	318	72	41	73	75	54	47	81	103	66	58
DDB_G0276059	2	6468555	6469229	+	675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDB_G0276057	2;2;2	6469384;6470948;6471223	6470814;6471123;6471238	-;-;-	1623	757	648	819	781	717	669	1383	2634	3961	2393	1879	461	826	810	1016	1163	2111	4674	2315	1055	1922	1063
DDB_G0276051	2	6484390	6485473	+	1084	6	1	2	6	3	4	2	0	2	7	3	7	0	4	1	5	0	0	1	0	0	1
DDB_G0276049	2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2	6486635;6486635;6486793;6486793;6486998;6486998;6487345;6487345;6487469;6487469;6487591;6487591;6487749;6487749;6487923;6487923;6488027;6488157;6488271;6488360;6488377	6486703;6486703;6486884;6486884;6487267;6487267;6487389;6487389;6487492;6487492;6487662;6487662;6487833;6487833;6488043;6487958;6488043;6488188;6488298;6488526;6488526	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1005	6993	4088	2381	1720	1717	1250	821	716	754	630	484	3216	7445	4376	4922	2611	949	404	1548	1523	1836	1765
DDB_G0276047	2;2;2	6488959;6489517;6495439	6489363;6495338;6495946	-;-;-	6735	138	94	222	215	281	255	248	346	560	381	353	75	44	106	155	123	191	179	113	106	244	141
