# Program:featureCounts v2.0.0; Command:featureCounts -a reference/D_discoideum_PASAua.gtf -o featureCounts/counts.txt -s 2 -T 4 merged_mapped/SI-2309-FS146-0h-h.bam merged_mapped/SI-2309-FS146-0h-i.bam merged_mapped/SI-2309-FS146-0h-j.bam merged_mapped/SI-2309-FS146-0h-k.bam merged_mapped/SI-2309-FS146-10h-h.bam merged_mapped/SI-2309-FS146-10h-i.bam merged_mapped/SI-2309-FS146-10h-j.bam merged_mapped/SI-2309-FS146-10h-k.bam merged_mapped/SI-2309-FS146-2h-h.bam merged_mapped/SI-2309-FS146-2h-i.bam merged_mapped/SI-2309-FS146-2h-j.bam merged_mapped/SI-2309-FS146-2h-k.bam merged_mapped/SI-2309-FS146-4h-h.bam merged_mapped/SI-2309-FS146-4h-i.bam merged_mapped/SI-2309-FS146-4h-j.bam merged_mapped/SI-2309-FS146-4h-k.bam merged_mapped/SI-2309-FS146-6h-h.bam merged_mapped/SI-2309-FS146-6h-i.bam merged_mapped/SI-2309-FS146-6h-j.bam merged_mapped/SI-2309-FS146-6h-k.bam merged_mapped/SI-2309-FS146-8h-h.bam merged_mapped/SI-2309-FS146-8h-i.bam merged_mapped/SI-2309-FS146-8h-j.bam merged_mapped/SI-2309-FS146-8h-k.bam																													
Geneid	Chr	Start	End	Strand	Length	merged_mapped/SI-2309-FS146-0h-h.bam	merged_mapped/SI-2309-FS146-0h-i.bam	merged_mapped/SI-2309-FS146-0h-j.bam	merged_mapped/SI-2309-FS146-0h-k.bam	merged_mapped/SI-2309-FS146-10h-h.bam	merged_mapped/SI-2309-FS146-10h-i.bam	merged_mapped/SI-2309-FS146-10h-j.bam	merged_mapped/SI-2309-FS146-10h-k.bam	merged_mapped/SI-2309-FS146-2h-h.bam	merged_mapped/SI-2309-FS146-2h-i.bam	merged_mapped/SI-2309-FS146-2h-j.bam	merged_mapped/SI-2309-FS146-2h-k.bam	merged_mapped/SI-2309-FS146-4h-h.bam	merged_mapped/SI-2309-FS146-4h-i.bam	merged_mapped/SI-2309-FS146-4h-j.bam	merged_mapped/SI-2309-FS146-4h-k.bam	merged_mapped/SI-2309-FS146-6h-h.bam	merged_mapped/SI-2309-FS146-6h-i.bam	merged_mapped/SI-2309-FS146-6h-j.bam	merged_mapped/SI-2309-FS146-6h-k.bam	merged_mapped/SI-2309-FS146-8h-h.bam	merged_mapped/SI-2309-FS146-8h-i.bam	merged_mapped/SI-2309-FS146-8h-j.bam	merged_mapped/SI-2309-FS146-8h-k.bam
DDB_G0267770	1	820114	821706	+	1593	117	147	161	102	85	44	46	39	237	137	97	48	78	35	73	55	97	53	59	53	58	24	66	61
DDB_G0267772	1;1	824677;824834	824730;825057	+;+	278	0	0	0	0	12	2	10	3	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	1
DDB_G0267774	1;1	825289;827453	827332;827478	-;-	2070	839	1184	1391	2044	587	740	400	329	602	593	266	186	1174	413	1518	597	1238	1202	935	681	711	295	374	360
DDB_G0267776	1;1;1	827764;831418;832313	831322;832006;832445	-;-;-	4281	7810	12750	10181	10562	3626	7311	3626	2501	19781	16870	3307	5803	4025	2312	2192	2696	4158	4186	4507	4177	4634	1484	1428	2816
DDB_G0267414	1	833130	835507	-	2378	938	1221	708	898	408	166	289	173	373	648	466	380	414	229	178	225	294	125	288	161	226	338	260	310
DDB_G0267784	1;1	849484;850297	850108;851483	-;-	1812	198	241	267	306	180	95	90	144	74	101	68	32	252	111	60	52	259	83	289	294	111	99	84	117
DDB_G0267786	1;1;1;1	852004;853417;853578;853745	853319;853470;853652;853942	-;-;-;-	1643	6692	5314	2617	2648	691	1011	838	439	2317	2216	2062	993	1156	384	235	311	570	576	670	335	443	406	534	497
DDB_G0267788	1;1	854978;855785	855698;855903	-;-	840	708	1216	745	904	1178	864	1129	739	1567	1579	278	661	1348	438	1099	887	1288	772	1078	688	1421	1016	644	1092
DDB_G0267790	1;1	857718;858123	858033;858220	+;+	414	314	328	271	210	1533	633	534	303	663	481	320	114	243	80	233	181	516	228	225	256	2728	437	1112	1410
DDB_G0267792	1;1	858285;859545	859435;859853	-;-	1460	7	2	13	18	37	21	14	16	6	3	1	1	2	2	8	3	6	11	13	8	13	3	15	18
DDB_G0267794	1	860655	862593	-	1939	175	437	380	461	134	85	192	97	156	174	45	125	58	17	47	86	77	31	109	40	61	123	102	116
DDB_G0267796	1	863105	865962	+	2858	511	939	802	902	530	261	375	224	561	723	159	242	365	153	272	308	405	180	238	264	571	310	236	286
DDB_G0268346	1	866630	867904	+	1275	2596	2725	2633	3486	2028	4203	1613	1729	4383	3993	2742	714	7989	2901	7340	3509	9348	6017	5486	6080	8477	1572	2981	4577
DDB_G0268348	1	868196	872344	+	4149	81	118	113	97	13	51	16	21	202	146	6	9	20	7	14	8	16	22	16	11	27	6	8	11
DDB_G0267456	1;1;1	872393;872759;873026	872675;872919;873281	-;-;-	700	7732	7645	8155	9109	310928	171352	91263	97558	47162	33424	28618	9930	189095	58607	98000	53023	388251	135062	105236	177956	607061	101375	173184	240411
DDB_G0268526	1;1;1	874156;874629;876365	874532;876283;876609	+;+;+	2277	158	327	241	259	106	130	70	52	255	239	37	57	181	67	45	91	149	86	70	209	134	61	39	68
DDB_G0267798	1	877260	880427	+	3168	646	1450	896	832	579	475	604	445	988	1026	244	305	719	249	392	475	574	380	569	412	333	336	178	340
DDB_G0268350	1	881664	884690	+	3027	140	361	278	252	484	441	230	241	239	209	38	57	353	190	131	113	536	160	344	566	485	209	119	334
DDB_G0268352	1;1;1;1;1;1	885133;885364;885610;885997;886221;886591	885224;885496;885870;886131;886520;889039	+;+;+;+;+;+	3370	972	907	511	401	40	141	90	41	420	344	142	54	155	51	67	53	93	64	60	54	64	38	32	58
DDB_G0267800	1	889651	891589	+	1939	218	323	287	286	290	490	264	249	457	323	205	134	284	101	262	217	382	406	353	347	357	107	197	368
DDB_G0268354	1	891838	894228	-	2391	1578	2332	2095	2359	1683	1409	1358	1664	2298	2001	1062	907	4408	1552	864	1285	4594	1801	2517	3695	1817	840	806	1478
DDB_G0267804	1;1	899153;902024	901915;902249	+;+	2989	1495	2246	1704	1970	332	656	388	302	1716	1455	463	560	1814	702	505	877	1091	605	1106	875	443	298	292	494
DDB_G0267808	1	903416	905468	+	2053	80	142	134	119	298	98	153	176	85	84	23	26	79	25	44	64	50	14	51	31	102	49	23	60
DDB_G0267810	1;1;1	905806;906219;906382	906125;906283;908316	-;-;-	2320	168	313	236	235	189	72	140	114	160	176	44	45	106	28	58	85	93	26	93	72	157	76	64	138
DDB_G0267812	1	909250	910169	+	920	3	1	4	1	14	15	17	18	0	0	0	0	1	0	0	2	2	1	3	2	22	2	15	28
DDB_G0267814	1	910680	912284	+	1605	97	93	102	97	186	338	202	130	431	281	131	88	255	105	220	170	478	522	371	412	253	113	203	281
DDB_G0267816	1	913536	914612	+	1077	192	291	203	261	995	611	538	502	287	296	107	147	930	298	479	375	1043	407	682	560	828	521	449	623
DDB_G0267818	1	914771	918553	-	3783	300	632	400	334	68	22	108	74	293	400	127	247	79	25	50	227	52	25	128	52	18	80	27	85
DDB_G0267820	1	919584	920681	-	1098	98	92	77	89	41	102	52	26	121	85	32	27	67	27	157	65	143	138	153	83	88	24	48	58
DDB_G0267822	1;1	920831;921292	921188;922086	+;+	1153	269	270	253	323	81	109	79	47	90	102	40	43	111	68	70	87	105	77	171	115	49	45	39	40
DDB_G0267824	1;1	922088;923321	923238;923752	-;-	1583	2427	2827	2845	3190	197	384	291	135	823	939	639	173	4698	1533	5722	1283	3842	3920	3263	1177	673	291	643	316
DDB_G0267826	1	924201	925787	-	1587	52	55	52	56	381	425	219	305	65	44	35	28	130	33	49	47	341	95	153	274	643	221	242	569
DDB_G0267828	1;1	926752;929063	928892;929423	+;+	2502	35	58	108	145	1328	916	707	723	241	213	63	50	237	130	134	111	416	153	235	362	1610	461	332	771
DDB_G0267830	1;1;1;1;1	929879;930536;930924;931822;932201	930437;930833;931717;932111;932310	-;-;-;-;-	2051	274	377	477	623	649	653	300	304	736	529	86	65	478	230	286	242	549	426	328	392	648	187	101	293
DDB_G0267832	1	932608	934661	-	2054	132	148	157	122	585	386	214	199	426	247	106	52	223	78	177	144	276	179	137	192	494	102	166	251
DDB_G0268358	1;1;1	936010;937030;937937	936668;937770;938060	+;+;+	1524	408	396	341	381	308	777	389	220	1520	1231	677	395	751	257	360	343	846	460	388	686	892	375	427	583
DDB_G0267834	1;1	939089;940220	940152;940508	+;+	1353	936	712	519	489	210	245	175	133	1140	671	490	178	158	44	90	55	176	118	102	103	295	103	138	191
DDB_G0267836	1;1	940948;942457	942334;942816	+;+	1747	264	294	270	306	337	399	182	273	377	335	265	144	686	202	161	206	727	341	411	475	441	166	195	377
DDB_G0267382	1;1	943345;945167	944711;945189	-;-	1390	10928	35056	23276	19634	51994	10946	30054	22804	139937	146226	67968	133400	10855	1299	6341	18953	11040	1666	6122	2414	19867	37714	43909	37987
DDB_G0268360	1	948298	948646	-	349	9340	11325	10996	9876	5853	6302	3613	3063	7290	5754	4747	2075	10529	3688	6443	4367	12792	7200	5577	5488	15749	3331	5775	7638
DDB_G0267838	1;1	949001;949382	949273;949753	+;+	645	381	408	423	461	1818	2175	1106	1035	904	737	385	227	1423	497	1373	803	2542	1223	1247	1401	3346	761	1197	2228
DDB_G0267416	1	950030	952882	-	2853	176	339	636	838	465	753	778	222	103	127	26	66	121	85	113	198	382	380	634	347	431	450	408	572
DDB_G0267840	1;1	954390;958017	957936;958792	+;+	4323	18	66	60	96	2774	2622	1394	1614	39	49	8	54	395	152	64	118	2224	474	848	2075	5992	1236	905	2518
DDB_G0267842	1;1	959369;959528	959421;960403	+;+	929	63	67	65	83	49	34	26	45	39	37	32	21	52	23	29	34	80	63	42	36	65	37	53	65
DDB_G0267844	1;1;1;1	961152;961483;961637;961752	961380;961549;961661;962309	+;+;+;+	879	0	2	0	1	6491	5415	2613	2851	1	0	5	1	2	1	3	5	110	13	39	88	21136	1574	5389	9378
DDB_G0267846	1;1;1	962812;963180;963353	963065;963246;963926	+;+;+	895	1708	1714	1383	1143	1031	1117	1049	583	21379	10934	15443	4212	1952	536	1334	980	965	863	508	316	1179	375	788	1025
DDB_G0267848	1;1	964359;964913	964827;965542	+;+	1099	4060	3924	3613	3713	401	883	580	545	1466	1102	1285	341	443	138	613	472	570	738	490	411	755	233	564	891
DDB_G0267850	1;1;1;1	965728;966116;966499;967763	966014;966391;967651;967822	+;+;+;+	1776	35	168	132	273	255	81	47	163	36	82	2	29	23	15	17	68	35	45	141	34	26	19	29	54
DDB_G0267852	1;1	968083;968400	968270;968913	-;-	702	583	566	478	385	106	161	168	118	837	612	367	179	430	148	310	248	387	257	250	241	205	85	193	229
DDB_G0267854	1;1;1	970209;970694;971303	970472;971141;973782	+;+;+	3192	1085	2170	1416	1553	3030	2002	1998	2037	1456	1665	351	885	1365	373	320	697	2273	613	1575	1776	2405	2243	989	2702
DDB_G0267856	1	974099	976591	+	2493	146	150	175	155	111	157	93	92	317	256	111	46	280	90	127	122	261	149	123	219	156	43	36	98
DDB_G0267858	1;1	977700;977915	977836;980295	+;+	2518	646	680	441	394	139	221	151	150	514	449	264	146	164	87	103	104	195	169	186	166	176	68	114	139
DDB_G0268362	1;1	980835;981102	980979;983272	+;+	2316	72	86	69	58	98	83	71	49	68	54	57	11	65	26	42	32	157	30	48	208	199	74	74	196
DDB_G0267860	1	983481	984130	-	650	10	8	14	11	334	119	174	150	26	14	21	6	47	11	24	20	93	31	31	59	372	123	198	286
DDB_G0267862	1	984523	985406	+	884	5	5	11	4	7	5	7	5	9	9	3	6	1	2	2	1	7	1	2	2	7	1	12	7
DDB_G0267864	1	985669	986657	-	989	27	13	19	4	59	28	32	32	44	27	39	5	37	25	73	21	49	21	19	23	55	21	51	64
DDB_G0268366	1;1;1	989825;990786;991009	990686;990898;991123	+;+;+	1090	154	158	192	203	145	178	85	76	188	137	86	30	187	68	133	77	221	135	113	148	331	76	103	187
DDB_G0267866	1;1;1	991394;991662;991942	991541;991857;992117	-;-;-	520	1637	2005	1646	1496	2012	994	1116	1209	1707	1836	1785	749	3239	1470	1793	1607	4180	1391	2138	1684	4197	2516	2117	3368
DDB_G0267868	1	992499	994486	-	1988	19	21	108	198	43	114	96	41	21	23	37	26	33	5	173	70	76	58	106	70	115	18	114	89
DDB_G0267870	1;1	995720;996113	996005;996935	+;+	1109	519	647	571	601	717	1066	637	504	1094	670	854	293	1060	246	1278	604	1684	896	722	826	1902	445	1008	1338
DDB_G0268368	1;1	1003245;1006247	1005869;1006331	+;+	2710	812	2434	2054	2003	8514	1874	3998	6865	979	1226	265	803	898	191	412	1534	1169	405	1143	631	2937	3388	1579	4352
DDB_G0268374	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1006933;1006933;1007331;1007331;1007467;1007587;1007587;1007789;1007789;1008165;1008165;1008530;1008530;1009380;1009380	1007216;1007216;1007508;1007345;1007508;1007670;1007670;1008077;1008077;1008449;1008449;1009263;1009263;1009966;1009966	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2441	114	149	347	422	16296	20791	10000	5587	390	490	1066	746	1799	581	2666	1295	5299	1247	2659	4488	45665	11298	19044	19889
DDB_G0268472	1;1	1010098;1012012	1011834;1012123	-;-	1849	4485	5408	3435	3548	716	477	742	383	1071	1469	1120	843	1055	591	229	512	551	354	835	435	133	367	378	407
DDB_G0267872	1;1	1012281;1013502	1013401;1014469	-;-	2089	60	74	73	147	79	125	82	39	57	37	13	14	39	25	43	41	94	95	108	73	72	27	19	72
DDB_G0268534	1	1014658	1015251	-	594	1331	1435	1550	1512	750	1163	537	347	1184	904	401	247	848	364	1172	570	1135	1152	931	602	1275	351	750	820
DDB_G0268376	1;1	1015824;1015991	1015913;1016551	+;+	651	2	5	8	3	6	5	3	4	17	6	7	0	2	1	7	2	2	3	2	1	3	2	9	5
DDB_G0267874	1;1;1	1016968;1017420;1017701	1017331;1017572;1019162	+;+;+	1979	607	721	517	497	105	270	168	61	542	345	233	68	196	69	356	155	271	306	238	127	212	77	134	152
DDB_G0268536	1	1020402	1022473	+	2072	326	473	395	384	301	426	238	163	692	546	184	105	504	159	200	202	571	335	347	374	387	105	154	256
DDB_G0268538	1;1;1;1	1022858;1023129;1023244;1023535	1022995;1023137;1023424;1024045	+;+;+;+	839	9058	9665	8601	7850	4521	6446	1435	1781	8073	8153	9216	3179	19917	7880	6704	4107	30269	14711	12878	12874	24241	4495	7348	11254
DDB_G0267876	1;1;1	1024145;1024442;1024666	1024356;1024535;1024917	-;-;-	558	2	2	4	1	1	0	2	0	6	3	3	2	0	0	2	0	0	1	1	0	1	1	2	1
DDB_G0267878	1;1	1025162;1025295	1025203;1028129	+;+	2877	93	114	98	110	32	40	25	23	206	174	85	28	63	31	38	47	48	21	43	42	27	7	25	29
DDB_G0267880	1	1028315	1028927	+	613	90	109	157	158	86	90	70	36	148	79	101	42	89	30	140	91	124	104	124	67	100	54	141	108
DDB_G0267882	1;1;1	1029261;1030629;1030792	1030544;1030683;1031200	-;-;-	1748	307	698	610	611	1280	186	668	867	521	723	204	462	260	56	105	415	187	61	275	66	205	355	201	470
DDB_G0267884	1	1032061	1034001	-	1941	784	826	573	605	440	945	323	234	1560	1175	369	201	1453	494	814	597	1613	991	844	1379	1386	317	387	705
DDB_G0267424	1;1;1	1034579;1034825;1035738	1034735;1035631;1036114	+;+;+	1341	2068	2119	1627	1652	2255	3406	1756	910	2827	2017	1014	631	2402	797	1507	872	2451	2120	1228	1601	4412	830	961	1232
DDB_G0267886	1	1036314	1038028	-	1715	75	67	49	68	35	12	36	30	39	45	37	38	20	9	12	30	13	10	21	11	19	22	17	38
DDB_G0267888	1	1038504	1042005	-	3502	0	1	1	2	726	283	254	394	2	4	0	0	10	1	4	2	185	21	62	106	600	217	125	373
DDB_G0267890	1;1	1042883;1044368	1044069;1044456	-;-	1276	571	822	456	515	289	96	256	192	305	383	204	200	172	86	86	170	144	32	137	80	99	193	207	247
DDB_G0267892	1	1045325	1047952	-	2628	1669	2064	1109	967	901	1004	741	1014	608	591	351	305	1417	525	342	325	1249	606	975	1094	935	385	341	815
DDB_G0267894	1	1051356	1052101	-	746	2208	1813	1250	1468	1580	1533	1013	1199	2742	4080	6054	3015	4471	2428	1458	2365	4020	1708	3629	1819	1394	967	3386	3070
DDB_G0267896	1	1052627	1053253	-	627	14	28	32	30	377	222	124	111	22	24	13	10	127	70	101	50	251	146	127	77	422	90	221	211
DDB_G0267898	1	1053799	1055167	-	1369	2	3	0	4	2620	1458	1856	2633	2	4	0	1	4	4	4	3	46	30	19	31	518	40	121	375
DDB_G0302588	1;1;1;1;1;1;1;1;1;1;1;1	1056510;1056510;1056510;1062318;1062318;1062318;1067116;1067116;1067116;1067546;1067546;1067546	1060385;1062125;1061228;1066909;1066909;1066909;1067427;1067427;1067427;1067586;1067586;1067586	-;-;-;-;-;-;-;-;-;-;-;-	10561	684	2133	2059	1955	855	374	396	284	664	1272	129	390	629	285	412	327	618	262	460	339	966	351	352	359
DDB_G0267902	1;1	1071888;1073729	1073619;1074539	+;+	2543	198	201	126	107	953	447	529	691	232	217	144	157	297	98	75	116	433	139	223	351	847	359	292	633
DDB_G0268382	1	1076498	1076890	+	393	0	2	0	0	3	5	1	1	0	0	0	0	0	0	0	0	2	0	0	1	8	0	5	1
DDB_G0267904	1;1;1;1	1077045;1079466;1080165;1080546	1079387;1080084;1080443;1080724	-;-;-;-	3420	168	388	553	738	2139	2012	1934	1166	593	430	60	129	571	262	285	204	556	701	392	315	777	464	182	362
DDB_G0267906	1	1080926	1082242	-	1317	2138	3098	2173	2290	1724	2337	1156	841	2717	1791	958	422	3221	969	2977	1095	3082	1989	1842	1730	3554	927	1939	1766
DDB_G0267908	1	1083247	1083607	+	361	1577	1582	2003	1450	418	269	456	289	1768	1285	1107	316	1020	326	932	545	545	381	303	285	393	229	384	477
DDB_G0267476	1	1084166	1085490	+	1325	79	75	66	87	1286	811	665	367	44	44	13	15	88	40	210	51	57	114	92	38	849	241	285	371
DDB_G0268384	1;1	1085828;1086168	1085951;1089019	+;+	2976	1180	1600	1052	1280	320	410	462	262	1420	1540	356	493	788	386	374	489	354	340	612	334	177	218	113	174
DDB_G0268540	1;1	1089190;1090045	1089979;1090568	-;-	1314	0	1	2	5	5	2	2	0	3	2	0	6	1	0	0	0	1	0	1	6	6	0	1	5
DDB_G0268544	1;1	1091709;1092562	1092498;1093100	-;-	1329	0	0	0	0	1	4	5	7	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
DDB_G0267412	1	1093913	1094419	-	507	2	20	5	8	115071	29612	38240	61506	12	19	26	14	77	33	37	27	970	117	91	502	17957	1481	5073	10837
DDB_G0268546	1;1	1095713;1096874	1096746;1096937	-;-	1098	100	83	108	93	245	307	131	125	283	218	176	54	216	96	154	89	511	134	159	287	1108	171	329	636
DDB_G0268548	1;1;1;1	1099490;1100244;1103539;1103815	1100167;1103439;1103744;1104043	+;+;+;+	4309	1040	1610	1307	1364	274	278	340	259	1970	1656	739	1039	624	249	141	320	481	251	503	452	259	225	176	267
DDB_G0268386	1	1104195	1106228	-	2034	1433	1830	1483	1602	640	668	419	369	1723	1414	255	155	1345	589	1256	595	1327	626	777	951	1038	331	360	532
DDB_G0267910	1	1106715	1108361	-	1647	515	539	449	366	154	246	111	103	1369	876	787	268	226	75	195	124	430	192	160	217	404	116	298	341
DDB_G0267914	1	1112700	1114253	-	1554	1016	972	716	738	172	361	206	157	2270	1865	1156	324	380	159	390	373	439	317	303	349	272	80	278	372
DDB_G0267916	1;1	1114621;1116878	1116793;1117968	-;-	3264	19	39	50	59	252	148	213	124	239	158	45	50	103	46	76	67	93	79	90	84	173	72	53	93
DDB_G0267918	1	1118591	1121121	+	2531	386	453	434	493	350	199	114	121	219	186	33	24	187	98	92	81	282	127	173	262	388	99	69	114
DDB_G0267466	1	1122598	1124251	+	1654	123	103	68	69	16	29	35	17	451	266	111	101	20	15	1	2	9	10	6	4	1	7	4	12
DDB_G0267924	1;1;1	1128363;1129680;1130056	1129200;1129952;1132710	+;+;+	3766	6974	10536	6509	7072	6714	4378	6948	4373	4012	3820	1678	1693	3731	1341	3602	2282	4674	2650	3595	2222	3626	3241	2825	3418
DDB_G0268394	1;1;1	1135912;1137178;1139217	1137066;1139138;1139527	+;+;+	3427	987	1594	703	664	1796	680	1391	1181	1719	1672	407	739	1261	301	425	871	1588	358	1041	749	934	1367	451	1080
DDB_G0268396	1;1	1139853;1140272	1140145;1140479	-;-	501	13651	13175	15579	13112	21993	9980	9230	7878	43535	29299	40312	12611	25719	7779	39682	15529	25967	12363	11773	8263	31815	6805	19886	18529
DDB_G0267928	1;1	1141444;1141664	1141587;1142710	+;+	1191	15509	15058	14887	14368	567	1584	946	659	10448	10376	12262	3732	14703	4547	25521	8999	9279	6157	5184	4408	3130	540	2261	2658
DDB_G0267930	1;1	1143643;1143813	1143706;1144065	+;+	317	1124	1317	2099	1313	46	35	46	43	97	51	68	18	106	37	117	62	71	38	35	32	26	12	43	53
DDB_G0267932	1;1	1144812;1145049	1144913;1145221	+;+	275	4	1	6	1	0	1	3	0	8	9	7	2	4	2	7	0	5	1	4	6	4	1	1	2
DDB_G0268550	1;1;1	1145507;1146287;1147169	1146199;1147036;1147392	-;-;-	1667	0	0	0	1	154	63	55	56	0	0	2	2	11	7	10	2	99	13	27	63	207	71	86	133
DDB_G0267934	1;1;1	1147906;1148776;1149548	1148691;1149438;1149709	-;-;-	1611	0	0	0	2	15091	21049	7304	5690	1	4	4	14	9	0	4	22	270	16	84	428	55233	7128	13968	26252
DDB_G0268398	1;1	1150368;1150677	1150600;1150689	-;-	246	1	1	0	0	1511	453	448	394	8	4	3	1	0	1	2	2	5	4	2	6	2310	144	485	694
DDB_G0268400	1;1	1151117;1151517	1151407;1151529	-;-	304	1	1	4	7	145	38	57	65	2	1	3	0	4	0	5	4	2	4	1	1	51	12	20	28
DDB_G0267936	1;1	1152289;1152387	1152301;1152619	+;+	246	1	4	0	2	71	30	26	19	3	4	2	0	3	2	2	0	7	1	2	2	142	3	57	28
DDB_G0267938	1	1153178	1156723	+	3546	232	287	235	269	82	174	74	72	697	540	90	87	239	90	129	111	170	113	141	184	102	36	38	81
DDB_G0268402	1;1;1;1	1157318;1157954;1158266;1158442	1157776;1158101;1158336;1158530	-;-;-;-	767	1197	1570	1187	1266	1531	1584	758	619	2157	1837	879	713	1051	475	918	687	1321	1016	1291	620	1311	477	664	897
DDB_G0267940	1;1;1	1159747;1159892;1160464	1159774;1160288;1161728	+;+;+	1690	403	384	263	282	745	529	431	439	992	668	266	96	469	166	316	153	568	194	329	358	791	234	351	522
DDB_G0267942	1;1;1;1;1	1161933;1163061;1163409;1164509;1164855	1162975;1163120;1164396;1164775;1165212	-;-;-;-;-	2716	1325	1566	1150	1323	2704	947	1603	1813	1111	1181	797	892	1189	418	401	794	1362	335	899	668	1982	1389	945	2069
DDB_G0267452	1;1	1168646;1170264	1170036;1170599	-;-	1727	6002	8866	8019	9421	10319	7351	5570	5873	5967	6215	2813	3261	10225	3700	3302	3900	9778	3824	6347	6437	11748	5430	4238	8047
DDB_G0267948	1;1	1170991;1171712	1171615;1172227	-;-	1141	221	594	315	337	307	199	129	97	657	772	20	319	171	81	104	127	115	116	171	83	170	26	70	88
DDB_G0267950	1;1;1	1172807;1173459;1173782	1173377;1173703;1173895	+;+;+	930	2092	2385	2730	2577	2336	2489	1267	1066	4288	2943	1468	650	3427	1207	2591	1623	4460	2234	1990	2251	5542	1046	1815	2929
DDB_G0267952	1;1;1	1173990;1174539;1174880	1174440;1174773;1175087	-;-;-	894	912	984	941	898	2023	1809	741	687	2832	1739	1387	579	2856	995	1994	1060	4291	1709	1226	1905	6469	1093	2353	3332
DDB_G0267954	1;1	1175749;1176880	1176749;1177189	+;+	1311	59	78	70	64	28	51	29	30	96	57	55	22	110	23	50	46	148	64	64	93	68	22	28	76
DDB_G0267956	1;1	1177308;1178114	1178015;1178429	-;-	1024	1253	2343	1244	1511	2650	1372	766	1024	4334	4299	166	1793	2076	667	995	1149	1476	936	1249	876	1673	435	485	674
DDB_G0267958	1;1	1179322;1179817	1179716;1181716	+;+	2295	285	453	443	407	625	76	298	376	126	202	53	79	93	26	34	55	53	36	61	21	95	119	27	88
DDB_G0268552	1;1;1;1;1;1	1182068;1182331;1182717;1182932;1183609;1183939	1182168;1182636;1182861;1183491;1183838;1184181	+;+;+;+;+;+	1585	525	625	552	479	331	581	289	232	1223	932	985	373	1186	395	839	464	1939	945	753	1253	1407	300	935	1010
DDB_G0268404	1;1;1;1;1	1184694;1185453;1185859;1186754;1187248	1185307;1185727;1186610;1187148;1187746	+;+;+;+;+	2535	844	1017	983	1082	319	275	176	200	511	605	129	163	934	435	130	216	665	213	607	911	292	152	103	217
DDB_G0267960	1;1	1187806;1190629	1190528;1190830	-;-	2925	755	855	664	655	146	177	117	77	1397	1107	116	131	740	310	197	273	496	217	281	532	169	78	31	103
DDB_G0267962	1;1;1;1	1191775;1192137;1192426;1192674	1192054;1192318;1192499;1198906	+;+;+;+	6769	468	921	650	680	1563	1161	978	1048	1959	1670	546	621	3008	905	852	1103	2698	887	1200	1960	2290	821	700	1143
DDB_G0267964	1	1199077	1199478	-	402	0	0	0	0	3	1	2	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	2	1
DDB_G0267474	1;1	1199961;1200113	1200024;1201449	+;+	1401	3	1	1	4	20	12	15	8	3	1	1	0	9	1	0	3	8	2	2	5	21	4	14	26
DDB_G0267966	1;1	1202522;1203004	1202860;1205892	+;+	3228	6385	8834	6630	6616	1043	992	1898	788	6498	6285	2381	4086	2144	838	989	1588	1244	598	1350	674	551	977	819	1175
DDB_G0268406	1;1;1;1;1;1;1;1	1206080;1206080;1206201;1206201;1206442;1206442;1206688;1206688	1206108;1206108;1206365;1206365;1206579;1206609;1206808;1206808	-;-;-;-;-;-;-;-	483	2	2	1	0	20	1	11	9	0	0	1	0	0	0	0	0	1	0	1	1	11	2	4	5
DDB_G0267968	1;1;1	1207158;1207264;1207669	1207161;1207574;1209051	+;+;+	1698	60	86	67	73	54	31	20	33	45	48	22	10	82	26	31	20	94	28	48	64	52	20	15	42
DDB_G0268554	1;1;1	1209766;1209871;1210255	1209769;1210175;1211808	+;+;+	1863	120	169	150	106	108	147	44	55	135	116	20	13	100	43	41	43	143	48	85	127	125	48	45	80
DDB_G0267974	1;1;1	1214003;1216155;1217023	1216090;1216858;1217118	-;-;-	2888	3008	4434	3372	3273	132	114	324	188	881	843	382	348	264	92	191	260	211	91	249	104	92	133	86	172
DDB_G0267976	1;1;1	1217753;1218200;1219079	1218097;1218938;1219204	-;-;-	1210	611	542	485	441	2100	1932	1797	1364	2190	1433	1450	549	1511	545	1898	920	2283	1275	935	1056	4346	824	2372	2603
DDB_G0267978	1;1;1	1220816;1221429;1222216	1221126;1222112;1224573	+;+;+	3353	5338	8179	6653	7413	8602	12843	9323	5246	16098	12027	4831	6265	8433	2573	2957	3682	10896	6136	6295	8632	13535	7152	4809	10593
DDB_G0268410	1;1;1;1	1224987;1225310;1225797;1227550	1225147;1225455;1227446;1229934	+;+;+;+	4342	87	154	127	118	113	44	85	50	135	139	40	72	74	14	36	55	66	21	40	44	52	74	55	71
DDB_G0267980	1;1	1230076;1230525	1230433;1231560	-;-	1394	294	466	433	527	91	322	117	71	605	412	145	78	298	130	315	230	296	348	266	196	270	50	101	193
DDB_G0267982	1;1	1232234;1232478	1232387;1235989	+;+	3666	5888	8933	7693	10019	4508	1427	3200	2264	3969	5182	1868	2983	3787	1691	891	2598	2631	592	2972	1437	1927	4226	2086	3441
